id;name;unit;category;note
1;Ấm chén: men xứ;Bộ;;
2;Bậc thang: xi măng;Bậc;;
3;Bậc thang: gạch men;Bậc;;
4;Bậc thang: nhựa;Bậc;;
5;Bậc thang: sắt (quét sơn );Tầng;;
6;Bậc thang: đá granito;Bậc;;
7;Bậc thang: sơn eboxy;Bậc;;
8;Bàn: gỗ công nghiệp;m2;;
9;Bàn: inox;Chiếc;;
10;Bàn: dán focmeca;Chiếc;;
11;Bàn: gỗ thịt;Chiếc;;
12;Ban công: kính;m2;;
13;Ban công: sắt;m2;;
14;Ban công: inox;m2;;
15;Sàn: gạch men;m2;;
16;Sàn: ceramic;m2;;
17;Sàn: gạch đỏ;m2;;
18;Sàn: xi măng;m2;;
19;Sàn: sơn PU;m2;;
20;Sàn: granito;m2;;
21;Sàn: granite tự nhiên;m2;;
22;Sàn: granite nhân tạo;m2;;
23;Bồn cầu: men sứ;Cái;;
24;Bồn tiểu: men sứ;Cái;;
25;Ốp chân tường: đá marble;m2;;
26;Ốp chân tường: đá granite;m2;;
27;Ốp chân tường: gạch men;m2;;
28;Ốp chân tường: tường sơn;m2;;
29;Ốp chân tường;m2;;
30;Chậu cây: men sứ;m2;;
31;Chậu rửa: men sứ;Cái;;
32;Cốc chén: men sứ;Cái;;
33;Cốc chén: thủy tinh;Cái;;
34;Cửa: gỗ;m2;;
35;Cửa: Sắt (phun sơn);m2;;
36;Cửa: khung nhôm kính;m2;;
37;Cửa: kính;m2;;
38;Cửa: inox;m2;;
39;Cửa sổ: Sắt (phun sơn);m2;;
40;Cửa sổ: inox;m2;;
41;Cửa sổ: nhôm kính;m2;;
42;Gạch ốp: men sứ;m2;;
43;Gạch ốp: đá marble;m2;;
44;Gạch ốp: đá granite;m2;;
45;Gạch ốp: amilu;m2;;
46;Ghế: gỗ;Cái;;
47;Ghế: nỉ;Cái;;
48;Ghế: da;Cái;;
49;Ghế: inox;Cái;;
50;Ghế: sắt phun sơn đệm da;Cái;;
51;Gờ: nhôm kính;m2;;
52;Gờ: sơn xi măng;m2;;
53;Gờ;m2;;
54;Gương: kinh;m2;;
55;Gương: kính khung gỗ;m2;;
56;Gương: kính khung nhôm;m2;;
57;Khung: nhôm;m;;
58;Khung: gỗ;m;;
59;Khung: inox;m;;
60;Kính: cường lực;m2;;
61;Kính: thường;m2;;
62;Kính: kính dán lớp chống nắng;m2;;
63;Mạng nhện;m2;;
64;Ổ điện: nhựa;Cái;;
65;Ốp tường: gạch men;m2;;
66;Ốp tường: đá granite;m2;;
67;Ốp tường: đá marble;m2;;
68;Ốp tường: amilu;m2;;
69;Quầy: gỗ;m2;;
70;Quầy: phoocmica;m2;;
71;Rèm: vải;m2;;
72;Rèm: nhựa;m2;;
73;Rèm: gỗ;m2;;
74;Thảm: Gai;m2;;
75;Thảm: len;m2;;
76;Thảm: nhựa;m2;;
77;Thang máy: inox;m2;;
78;Thang máy: kính;m2;;
79;Thùng rác: nhựa;lít;;
80;Trần: thạch cao;m2;;
81;Trần: gỗ;m2;;
82;Tủ: sắt;m2;;
83;Tủ: Gỗ;m2;;
84;Tủ: nhôm kính;m2;;
85;Vách ngăn: phoocmica;m2;;
86;Vòi: inox;Cái;;
87;Vòi: kẽm;Cái;;
88;Barie : sắt (quét sơn );m2;;
89;Biển báo: nhựa cứng;m2;;
90;Biển báo: tôn phủ sơn;m2;;
91;Bình cứu hỏa: thép (phủ sơn);Cái;;
92;Bốt bảo vệ: khung nhôm kính;m2;;
93;Bục: gỗ;m2;;
94;Bục: inox;m2;;
95;Chấn song: sắt (phun sơn);m2;;
96;Chấn song: inox;m2;;
97;Chớp kính: kính;m2;;
98;Chớp kính: nhôm;m2;;
99;Cống: sắt;m2;;
100;Cống: xi măng;m2;;
101;Cổng: sắt;m2;;
102;Cổng: inox;m2;;
103;Cột: bê tông;m2;;
104;Cột: sắt;m2;;
105;Đèn báo: kính;Cái;;
106;Đường ống: Sắt (phun sơn);m2;;
107;Đường ống: nhựa PVC;m2;;
108;Đường ống: kẽm;m2;;
109;Hố ga: xi măng;Cái;;
110;Lan can: inox;m2;;
111;Lan can: sắt (phủ sơn);m2;;
112;Mái: inox;m2;;
113;Mái: sắt;m2;;
114;Mái: kính;Cái;;
115;Tiểu cảnh: đá;m2;;
116;Tiểu cảnh: sàn xi măng;m2;;
117;Tiểu cảnh: ốp gạch men;m2;;
