id;title;dvvs_desc;data;is_read;status
1;gold wireless;Home pixel;Plastic User-friendly;true;PROCESS
2;York Bedfordshire HDD;red RAM Metal;digital;false;INFOMATION
3;online Grocery New;Shirt;visionary;true;INFOMATION
4;New Liaison Decentralized;reboot technologies;clicks-and-mortar tertiary;false;SUCCESS
5;Customer-focused;matrices;sensor Health archive;true;INFOMATION
6;Florida withdrawal;Outdoors;Locks;false;SUCCESS
7;Square;Sudan;dot-com web-enabled;true;INFOMATION
8;productize;Kansas payment generating;e-markets yellow Burgs;false;INFOMATION
9;parse orchid schemas;Anguilla;Hat online CSS;true;PROCESS
10;violet encryption;Progressive;program SQL Wyoming;false;INFOMATION
