id;order_number;document_id;appendices_number;file_id;content;effective_time_from;effective_time_to;duration_month;value;contract_value;human_resources;human_resources_weekend;status;subject_count;value_per_person;year
1;28221;scale Internal mobile;Port;Gloves Direct world-class;middleware Rupee;2021-07-31T02:27:01;2021-07-30T12:42:12;49460;99771;85344;17139;34509;WORKING;90542;68116;16513
2;79782;e-services channels connect;Associate Concrete;Saudi;Corporate Associate;2021-07-30T16:36:41;2021-07-30T18:02:20;98576;24056;5758;12658;17933;TIMEOUT;78740;37115;70319
3;83795;PNG backing;PCI;Director;Home yellow azure;2021-07-30T07:05:39;2021-07-30T16:11:58;49877;70157;30526;74973;69069;UNREQUEST;72028;21939;28029
4;66050;EXE Extended definition;Loan Sausages;bluetooth;Legacy back-end;2021-07-31T00:25:17;2021-07-31T03:03:01;22513;96138;66406;18088;85383;WORKING;16146;34503;39064
5;99497;Soft matrix;Albania;Books;JBOD;2021-07-30T22:04:30;2021-07-30T23:53:04;37982;66496;90430;34427;20819;SUCCESS;82281;14947;71699
6;78309;card violet;Berkshire Integration Auto;deploy Bacon clicks-and-mortar;Lodge Michigan;2021-07-31T01:32:44;2021-07-30T22:44:17;7404;47699;56369;98583;96434;TIMEOUT;38546;18313;55982
7;58006;XML bluetooth;Senior dot-com;transparent website bypassing;bus bypass Personal;2021-07-31T05:50:07;2021-07-30T15:12:49;57207;9755;70584;2275;59192;PENDING;79407;61155;99759
8;70137;XSS hack;multi-byte;Officer backing Orchestrator;Surinam Shoes;2021-07-30T17:13:09;2021-07-30T23:28:53;64373;65869;74082;4890;68575;WORKING;27031;63783;12806
9;74744;Customer Manager;Maryland;Product drive haptic;Rustic facilitate experiences;2021-07-30T09:11:55;2021-07-31T01:38:11;24233;70363;89785;61252;52384;TIMEOUT;86674;98120;87399
10;35994;monitor;Zloty grey Strategist;deposit;Personal;2021-07-31T04:06:10;2021-07-31T04:19:38;35719;53226;27461;17507;94271;WORKING;84744;49699;37809
