id;name;description;address
1;Graphic Soft;firmware experiences Summit;Fantastic overriding
2;mission-critical Ergonomic;Ball Chief synthesizing;Managed
3;cross-media Buckinghamshire;Facilitator alarm Re-contextualized;monitor Shirt
4;Group;copy back-end;Intelligent Proactive Mauritius
5;South Cambodia SMTP;Metal;Investment ADP
6;copy;Stand-alone Chips;Internal
7;Dynamic cross-platform;Synergized Czech Heights;index Security Fresh
8;Investor;Verde neural-net;Fish payment
9;El;Granite Frozen;deposit lime protocol
10;Games Shoal;generate solid Security;Generic
