id;start_at;end_at;create_at;status;amount_of_work;quantity;frequency;note;suppervisor_id
1;2021-09-16;2021-09-16;2021-09-17;true;79169;6492;program;Borders Sleek;49496
2;2021-09-16;2021-09-16;2021-09-17;true;66042;19223;synergies HTTP Industrial;withdrawal implement;18110
3;2021-09-17;2021-09-17;2021-09-17;true;50377;96153;Macao;indigo Avon Chair;13735
4;2021-09-17;2021-09-17;2021-09-17;true;51830;19823;generating HTTP;concept;1345
5;2021-09-16;2021-09-17;2021-09-17;false;5587;16886;Mouse Rustic;payment;75991
6;2021-09-17;2021-09-17;2021-09-17;false;62339;87650;Gorgeous Configuration;Generic;13425
7;2021-09-17;2021-09-17;2021-09-17;true;58400;43012;Market;Diverse Infrastructure Shirt;66354
8;2021-09-17;2021-09-17;2021-09-17;false;31854;4899;Table Table;Centralized revolutionary Buckinghamshire;68813
9;2021-09-16;2021-09-16;2021-09-16;false;22020;43784;Sleek Bedfordshire;Equatorial Account Strategist;58071
10;2021-09-17;2021-09-16;2021-09-16;false;18135;75318;Music Assurance violet;Brazil;47848
